,year,country,Surface area (sq. km),Livestock production index (2004-2006 = 100),index,country_code,code
138,2016,United Kingdom,243610.0,106.58,5030,A,GBR
139,2016,United States,9831510.0,109.7,5043,A,USA
140,2016,Uruguay,176220.0,100.83,5071,A,URY
141,2016,Uzbekistan,447400.0,134.03,5080,A,UZB
142,2016,Vietnam,331230.0,151.37,5106,A,VNM
143,2016,Zambia,752610.0,200.58,5138,A,ZMB
144,2016,Zimbabwe,390760.0,106.25,5141,A,ZWE
145,2016,Cabo Verde,4030.0,81.59,5214,A,CPV
146,2016,Central African Republic,622980.0,128.28,5219,A,CAF
147,2016,Chad,1284000.0,117.13,5223,A,TCD
148,2016,Comoros,1861.000061,109.39,5232,A,COM
149,2016,Djibouti,23200.0,133.75,5243,A,DJI
150,2016,Equatorial Guinea,28050.0,105.01,5256,A,GNQ
151,2016,Grenada,340.0,107.7,5294,A,GRD
152,2016,Guinea-Bissau,36130.0,129.86,5302,A,GNB
153,2016,Haiti,27750.0,104.25,5317,A,HTI
154,2016,Kiribati,810.0,118.94,5340,A,KIR
155,2016,Kosovo,10887.0,,5345,A,KSV
156,2016,Lesotho,30360.0,99.49,5366,A,LSO
157,2016,Liberia,111370.0,141.38,5371,A,LBR
158,2016,Marshall Islands,180.0,,5402,A,MHL
159,2016,Mauritania,1030700.0,112.68,5407,A,MRT
160,2016,Palau,460.0,,5513,A,PLW
161,2016,Sao Tome and Principe,960.0,116.51,5531,A,STP
162,2016,Sierra Leone,72300.0,214.46,5542,A,SLE
163,2016,Solomon Islands,28900.0,106.31,5555,A,SLB
164,2016,Somalia,637660.0,110.21,5560,A,SOM
165,2016,South Sudan,,,5567,A,SSD
166,2016,Timor-Leste,14870.0,113.83,5611,A,TLS
167,2016,Turkmenistan,488100.0,117.55,5631,A,TKM
168,2016,Tuvalu,30.0,105.65,5636,A,TUV
169,2016,Vanuatu,12190.0,111.26,5656,A,VUT
170,2016,Andorra,470.0,,14024,A,AND
171,2016,Cook Islands,,,14026,A,COK
172,2016,Monaco,2.0,,14028,A,MCO
173,2016,San Marino,60.0,,14029,A,SMR
174,2016,Swaziland,,,14030,A,SWZ
175,2016,United Arab Emirates,83600.0,149.9,14031,A,ARE
176,2016,American Samoa,200.0,100.46,15584,A,ASM
177,2016,British Virgin Islands,150.0,99.72,15645,A,VGB
178,2016,Cayman Islands,260.0,98.67,15680,A,CYM
179,2016,Faroe Islands,1396.000061,100.17,15785,A,FRO
180,2016,Greenland,410450.0,97.79,15800,A,GRL
181,2016,Guam,540.0,112.21,15812,A,GUM
182,2016,Liechtenstein,160.0,96.7,15957,A,LIE
183,2016,Puerto Rico,8870.0,104.73,16099,A,PRI
184,2016,Aruba,180.0,,16292,A,ABW
185,2016,Curacao,444.0,,16523,A,CUW
186,2016,Gibraltar,10.0,,16785,A,GIB
187,2016,Isle of Man,570.0,,16837,A,IMN
188,2016,Northern Mariana Islands,460.0,,17119,A,MNP
189,2016,Anguilla,,,18321,A,AIA
190,2016,Brunei,,,18634,A,BRN
191,2016,Russia,,,34181,A,RUS
192,2017,Afghanistan,652860.0,,1949,A,AFG
193,2017,Albania,28750.0,,1952,A,ALB
194,2017,Algeria,2381740.0,,1954,A,DZA
195,2017,Argentina,2780400.0,,1958,A,ARG
196,2017,Armenia,29740.0,,1961,A,ARM
197,2017,Australia,7741220.0,,1964,A,AUS
198,2017,Austria,83879.00391,,1967,A,AUT
199,2017,Azerbaijan,86600.0,,1970,A,AZE
200,2017,Bahrain,778.0000305,,1973,A,BHR
201,2017,Bangladesh,147630.0,,1976,A,BGD
202,2017,Belarus,207600.0,,1979,A,BLR
203,2017,Belgium,30530.0,,1982,A,BEL
204,2017,Benin,114760.0,,1985,A,BEN
205,2017,Bolivia,1098580.0,,1989,A,BOL
206,2017,Bosnia and Herzegovina,51210.0,,1992,A,BIH
207,2017,Botswana,581730.0,,1994,A,BWA
208,2017,Brazil,8515770.0,,1997,A,BRA
209,2017,Bulgaria,111000.0,,2000,A,BGR
210,2017,Burkina Faso,274220.0,,2002,A,BFA
211,2017,Cambodia,181040.0,,2006,A,KHM
212,2017,Cameroon,475440.0,,2008,A,CMR
213,2017,Canada,9984670.0,,2011,A,CAN
214,2017,Central African Republic,622980.0,,2012,A,CAF
215,2017,Chad,1284000.0,,2014,A,TCD
216,2017,Chile,756700.0,,2017,A,CHL
217,2017,China,9562910.0,,2020,A,CHN
218,2017,Colombia,1141748.9840000002,,2023,A,COL
219,2017,Costa Rica,51100.0,,2030,A,CRI
220,2017,Croatia,56590.0,,2033,A,HRV
