Date,Arbitrage,CTA,Commodity,Distressed_Debt,Event_Driven,FOF,FX,ILS,Long_Short_Equity,Multi_Strategy,Relative_Value,UCITS
2010/10/31,-0.001957718,-0.004041319,-0.000568236,0.001821679,0.004610316,-0.000827911,-0.00474918,-0.004662163,0.005355503,0.000450116,0.000577747,0.003930593
2010/11/30,0.001963461,0.001245443,-0.000134688,0.000459805,-0.000889906,0.001123015,0.003491244,0.002902878,-0.001883965,-0.000297699,0.000695577,-0.002511511
2010/12/31,0.003495525,0.001468778,0.007218394,0.008638553,0.01251969,0.005417737,-0.000227342,6.84E-05,0.013842883,0.007078945,0.007001211,0.011706389
2011/1/31,-0.00333509,-0.00362171,-0.002193152,-0.001645036,-0.001656948,-0.003095824,-0.00465467,-0.004247457,-0.001815815,-0.002884616,-0.002762683,-0.002138358
2011/2/28,0.009839211,0.010018263,0.009947209,0.010805106,0.010668368,0.009927796,0.009123044,0.009250032,0.010392983,0.009851707,0.010301462,0.010471027
2011/3/31,-0.00139541,-0.002386277,0.00038451,0.00066199,0.003194071,-0.000542243,-0.002661577,-0.002706953,0.003983628,0.000713089,0.000481213,0.003161544
2011/4/30,0.006283082,0.006446215,0.008527374,0.00889233,0.010325033,0.007272531,0.004098472,0.004628771,0.011015741,0.008323318,0.008009704,0.010900572
2011/5/31,0.005731936,0.007037375,0.001415295,0.002366506,-8.92E-06,0.004350103,0.007962977,0.0075773,-0.000991979,0.003289702,0.003739016,0.000982054
2011/6/30,-0.010408021,-0.011748317,-0.011537129,-0.009497372,-0.008064123,-0.010071965,-0.011312616,-0.011534545,-0.007568011,-0.00948688,-0.009503701,-0.00796252
2011/7/31,0.005554883,0.008070988,0.006573044,0.0029068,-9.80E-05,0.004545983,0.007788609,0.008148491,-0.001132847,0.003526702,0.003334308,0.00016191
2011/8/31,0.001471632,0.00650117,-0.001300857,-0.005736356,-0.012410251,-0.001033638,0.006624789,0.006838322,-0.01441331,-0.003813464,-0.003782115,-0.010945551
2011/9/30,0.006827678,0.013123079,-0.003225485,-0.006260801,-0.016836656,0.002446995,0.015653853,0.015045843,-0.019923188,-0.002942028,-0.002192558,-0.014680038
2011/10/31,0.019824682,0.012251854,0.027764472,0.035574479,0.048275223,0.024850724,0.008795463,0.009064447,0.051573527,0.030811831,0.031162694,0.046088245
2011/11/30,0.001056709,-3.59E-06,0.002154572,0.002753243,0.004111161,0.001799242,-0.000131355,-0.000174708,0.004653525,0.002013653,0.002165886,0.003333252
2011/12/31,0.018096594,0.01884239,0.014784493,0.016640539,0.01475664,0.016970655,0.019103654,0.0189034,0.01351145,0.016202652,0.017073473,0.015034206
2012/1/31,0.008431818,0.007435756,0.008558871,0.010664538,0.013397622,0.00924823,0.006769835,0.006605544,0.01418644,0.010719062,0.010656618,0.014081599
2012/2/29,0.006478627,0.005750145,0.010210212,0.008762129,0.010351164,0.007586597,0.00489218,0.005321955,0.011187275,0.00827835,0.007696179,0.009643051
2012/3/31,-0.009186094,-0.010599324,-0.012101505,-0.00819155,-0.007518801,-0.00929774,-0.010083012,-0.010507989,-0.00780449,-0.009291674,-0.008397609,-0.00791871
2012/4/30,0.00546271,0.007437842,0.003540862,0.002900618,0.000381483,0.004289497,0.007279082,0.007341614,-0.000639021,0.003517105,0.003712507,0.001322981
2012/5/31,0.006154599,0.011184834,-0.003955241,-0.005531117,-0.014359025,0.001848666,0.01439551,0.013504304,-0.017493204,-0.002438261,-0.001484444,-0.012359179
2012/6/30,0.009366453,0.005712307,0.012716838,0.016885817,0.023050316,0.011957959,0.003696114,0.003936985,0.025018832,0.014945587,0.014774927,0.022576439
2012/7/31,0.014134701,0.015390974,0.016396082,0.013965599,0.012833348,0.014009639,0.014542932,0.014972961,0.01244908,0.013770727,0.013562221,0.012663173
2012/8/31,0.001456511,0.000185262,0.004730916,0.004944235,0.007050027,0.002773358,-0.000985436,-0.000700178,0.007752839,0.003382877,0.00351081,0.005791964
2012/9/30,-0.003908313,-0.005444237,-0.002991397,-0.001926351,0.000959371,-0.002733909,-0.005654973,-0.005713301,0.002322161,-0.001547962,-0.002086051,0.00116799
2012/10/31,-0.002038752,-0.001892887,-0.003964723,-0.00311382,-0.003867356,-0.002600816,-0.001447212,-0.001549551,-0.004191679,-0.002700923,-0.002698206,-0.003299203
2012/11/30,0.004019929,0.004603048,0.00452363,0.003487675,0.00295377,0.003972868,0.004413704,0.004511199,0.00288019,0.003691882,0.00357365,0.003034731
2012/12/31,-0.000250277,-0.002222008,0.000636402,0.002797567,0.006223802,0.000976266,-0.00256622,-0.002696422,0.00746606,0.002624005,0.002353877,0.006408114
2013/1/31,-0.002316019,-0.003376092,-0.000589729,0.000435229,0.001740625,-0.001484551,-0.004251846,-0.004088906,0.002039685,-0.001135776,-0.000787495,0.00074155
