Date,Pure number,Signal
2006-08-09,0.0818,-1.0
2006-08-11,0.0865,-1.0
2006-08-12,0.0543,-1.0
2006-08-18,0.0686,1.0
2006-08-25,0.0842,0.0
2006-09-01,0.0569,0.0
2006-09-06,0.1314,1.0
2006-09-08,0.0817,0.0
2006-09-15,0.0648,1.0
2006-09-22,0.0848,1.0
2006-09-29,0.075,0.0
2006-10-02,0.1043,1.0
2006-10-03,0.1187,0.0
2006-10-06,0.0574,0.0
2006-10-11,0.0429,1.0
2006-10-13,0.0502,1.0
2006-10-20,0.0679,1.0
2006-10-27,0.0348,1.0
2006-11-03,0.041,1.0
2006-11-08,0.0867,1.0
2006-11-10,0.0428,0.0
2006-11-17,0.0393,1.0
2006-11-24,0.0355,1.0
2006-12-01,0.0957,1.0
2006-12-05,0.1011,0.0
2006-12-08,0.0542,0.0
2006-12-15,0.0498,1.0
2006-12-22,0.0342,1.0
2006-12-29,0.0382,1.0
2007-01-05,0.0821,1.0
2007-01-06,0.0717,1.0
2007-01-12,0.0679,1.0
2007-01-19,0.0322,1.0
2007-01-26,0.0619,1.0
2007-02-02,0.0511,1.0
2007-02-03,0.1665,1.0
2007-02-09,0.0582,0.0
2007-02-11,0.2473,0.0
2007-02-16,0.0948,-1.0
2007-02-23,0.0491,1.0
2007-03-02,0.1668,1.0
2007-03-08,0.2092,0.0
2007-03-09,0.1413,-1.0
2007-03-16,0.1983,0.0
2007-03-23,0.187,-1.0
2007-03-30,0.1025,-1.0
2007-04-05,0.059,0.0
2007-04-06,0.0916,0.0
2007-04-13,0.0833,0.0
2007-04-20,0.1107,1.0
2007-04-27,0.0678,0.0
2007-05-01,0.0821,1.0
2007-05-04,0.0593,1.0
2007-05-10,0.2487,1.0
2007-05-11,0.0634,-1.0
2007-05-18,0.0517,1.0
2007-05-25,0.0632,1.0
2007-06-01,0.0716,1.0
2007-06-04,0.0911,1.0
2007-06-07,0.0536,1.0
2007-06-08,0.1004,1.0
2007-06-15,0.0793,1.0
2007-06-22,0.0431,1.0
2007-06-29,0.0829,1.0
2007-07-06,0.0535,1.0
2007-07-09,0.315,1.0
2007-07-12,0.3673,-1.0
2007-07-13,0.1126,-1.0
2007-07-20,0.1167,1.0
2007-07-27,0.1556,1.0
2007-08-03,0.2088,0.0
2007-08-06,0.1006,0.0
2007-08-10,0.3112,0.0
2007-08-17,0.338,-1.0
2007-08-24,0.3526,-1.0
2007-08-31,0.3037,-1.0
2007-09-02,0.0582,-1.0
2007-09-03,0.1414,1.0
2007-09-07,0.314,0.0
2007-09-11,0.2565,-1.0
2007-09-14,0.2887,-1.0
2007-09-21,0.3551,-1.0
2007-09-28,0.3112,-1.0
2007-10-05,0.2479,-1.0
2007-10-08,0.3119,-1.0
2007-10-12,0.2329,-1.0
2007-10-19,0.2126,-1.0
2007-10-26,0.273,-1.0
2007-11-02,0.2458,-1.0
2007-11-05,0.0632,-1.0
2007-11-09,0.2548,1.0
2007-11-16,0.3099,-1.0
2007-11-23,0.4076,-1.0
2007-11-30,0.4106,-1.0
2007-12-01,0.068,-1.0
2007-12-07,0.3662,-1.0
2007-12-10,0.2338,-1.0
2007-12-14,0.3675,-1.0
2007-12-21,0.3474,-1.0
2007-12-28,0.1992,-1.0
2008-01-02,0.4907,-1.0
2008-01-04,0.313,-1.0
2008-01-08,0.3645,-1.0
2008-01-11,0.4137,-1.0
2008-01-18,0.488,-1.0
2008-01-25,0.5966,-1.0
2008-02-01,0.4895,-1.0
2008-02-05,0.3631,-1.0
2008-02-08,0.5018,-1.0
2008-02-15,0.4848,-1.0
2008-02-22,0.3797,-1.0
2008-02-29,0.4453,-1.0
2008-03-07,0.4897,-1.0
2008-03-10,0.7098,-1.0
2008-03-14,0.5431,-1.0
2008-03-21,0.5637,-1.0
2008-03-28,0.5326,-1.0
2008-04-01,0.3126,-1.0
2008-04-04,0.4906,-1.0
2008-04-07,0.4918,-1.0
2008-04-11,0.4318,-1.0
2008-04-18,0.5393,-1.0
2008-04-25,0.4513,-1.0
2008-05-02,0.3627,-1.0
2008-05-09,0.3562,1.0
